Frequency (Hz),Measured accelerations under no-load (m/s2),Measured accelerations under on-load (m/s2)
897,0.094548551,0.108074062
898,0.148425675,0.149766464
899,0.148715241,0.161211308
900,0.124333937,0.115686102
901,0.095759549,0.07260657
902,0.096499288,0.032704169
903,0.205838302,0.045446913
904,0.363087267,0.039946617
905,0.469872984,0.020747559
906,0.451237647,0.030377453
907,0.364224426,0.038922793
908,0.261774996,0.045334638
909,0.183412671,0.046440705
910,0.152388602,0.045631576
911,0.121625755,0.041286359
912,0.11670176,0.034332536
913,0.178173377,0.025183684
914,0.275418816,0.014661444
915,0.346059889,0.011145673
916,0.41253672,0.018821991
917,0.427892923,0.020747584
918,0.367179255,0.02387718
919,0.272763891,0.02231495
920,0.181055219,0.026895903
921,0.142199642,0.047676101
922,0.151185482,0.067911842
923,0.153700012,0.111879001
924,0.117795022,0.133424518
925,0.041175766,0.112118816
926,0.17880036,0.093754327
927,0.225724355,0.051986972
928,0.196134491,0.022045653
929,0.118796456,0.024893447
930,0.07475654,0.020049585
931,0.105339202,0.016793891
932,0.09516572,0.008892625
933,0.105452193,0.008904932
934,0.109315948,0.017686115
935,0.037389267,0.010617797
936,0.063160523,0.00757738
937,0.142481153,0.01160391
938,0.181958109,0.018543003
939,0.134710816,0.022702423
940,0.050791468,0.023212683
941,0.03906122,0.019307157
942,0.021855631,0.009812262
943,0.027048398,0.01086725
944,0.067877788,0.018398359
945,0.095826599,0.031612135
946,0.082754899,0.04899178
947,0.108236735,0.073238897
948,0.14157752,0.110080965
949,0.147285873,0.125473063
950,0.145378112,0.115058914
951,0.134307558,0.098770069
952,0.106352971,0.06240575
953,0.096530678,0.023307784
954,0.115168655,0.016867311
955,0.133277112,0.02516293
956,0.148995543,0.031931181
957,0.155832412,0.035248618
958,0.126101812,0.034373663
959,0.076219046,0.025688528
960,0.043565838,0.016055558
961,0.077057285,0.008985859
962,0.095094447,0.01249622
963,0.089847159,0.015786597
964,0.091160409,0.01964944
965,0.069426101,0.020849753
966,0.027052707,0.015927779
967,0.040530633,0.008657614
968,0.094173962,0.010978489
